Aula,Semana,Data,Dia,Tema,Objetivo,Conteúdo Detalhado,Atividades,Material Prévio,Entregáveis,Referência
Aula 10,5,,Quarta,DevOps e Integração Contínua (CI/CD) com IA,"Aprender a integrar IA em processos de DevOps e pipelines de CI/CD para maior eficiência e confiabilidade.","Integração de IA em pipelines de CI/CD: automação de builds, testes, deployments. Predictive analytics em DevOps: antecipar falhas de deployment, prever tempo de build, otimizar alocação de recursos. AI-driven monitoring e alerting: detecção de anomalias em produção, auto-healing systems. Ferramentas: Jenkins + AI plugins, GitHub Actions com AI, Kubernetes + AI para orquestração.","Atividade em grupo: Desenhar um pipeline de CI/CD com componentes de IA (ex: testes automatizados com IA, deployment inteligente, monitoramento preditivo). Apresentar o diagrama e discutir os benefícios de cada componente de IA no pipeline. Discussão: quais são os riscos de automação excessiva?","Ler: Fu et al. (2024) sobre AI for DevSecOps. Explorar: GitHub Actions documentation, Jenkins AI plugins.","Diagrama de pipeline CI/CD com componentes de IA + descrição detalhada de cada componente e seus benefícios/riscos.","Fu et al. (2024); Vemuri & Venigandla (2022); Houerbi et al. (2024); Meira (2024) - Seção 4.2"
Aula 11,6,,Segunda,Palestra Convidada: IA em Produção - Experiência da Indústria,"Expor os alunos a aplicações reais de IA na engenharia de software através da experiência de um profissional da indústria.","Palestra de 60-70 minutos com profissional de empresa líder em tecnologia (ex: Google, Amazon, Microsoft, startup local). Tópicos: como a empresa usa IA em seus processos de desenvolvimento, casos de sucesso e fracasso, desafios de implementação em larga escala, impacto na produtividade e qualidade. Q&A com os alunos (20-30 minutos).","Palestra interativa com sessão de perguntas e respostas. Os alunos devem preparar pelo menos 2 perguntas cada para o palestrante (submeter previamente).","Pesquisar sobre a empresa do palestrante e suas iniciativas de IA. Preparar perguntas relevantes e thoughtful.","Relatório individual (2 páginas): principais insights da palestra, como os conceitos se conectam com o aprendizado em sala, reflexão sobre carreira.","Material fornecido pelo palestrante (se disponível)"
Aula 12,6,,Quarta,Manutenção e Detecção de Bugs Assistida por IA,"Capacitar os alunos a usar IA para detectar e prever bugs de forma proativa.","Técnicas de Machine Learning e Deep Learning para detecção automática de bugs: classificadores, redes neurais, análise estática + ML. Uso de IA para identificar padrões que correlacionam com bugs: métricas de complexidade (cyclomatic complexity), histórico de mudanças (churn), code smells. Ferramentas: DeepCode, Snyk, SonarQube com AI, bug prediction models.","Atividade: Usar uma ferramenta de detecção de bugs baseada em IA (ex: DeepCode, CodeQL + AI model) para escanear um projeto de código open-source. Analisar os resultados: quais bugs foram detectados? Falsos positivos? Discussão: confiabilidade dos resultados.","Ler: Khleel & Nehéz (2023) sobre ML para bug prediction. Preparar: ambiente com ferramenta de análise estática (SonarQube, DeepCode).","Relatório de análise: bugs detectados, classificação por severidade, análise de falsos positivos/negativos, avaliação da utilidade da ferramenta.","Khleel & Nehéz (2023); Thudumu et al. (2020); Meira (2024) - Seção 5.1"
Aula 13,7,,Segunda,Resolução de Bugs e Otimização com IA,"Aprender a usar IA para sugerir correções de bugs e priorizar esforços de manutenção.","IA na sugestão de correções de bugs: análise de commits anteriores, padrões de correção, geração de patches automáticos. Priorização de bugs com IA: severidade, impacto no sistema, probabilidade de ocorrência. Padronização da qualidade de correções através de code review automatizado com IA. Desafios: confiabilidade das correções automáticas, necessidade de validação humana.","Debate estruturado: ""A IA pode substituir desenvolvedores na correção de bugs?"" Discussão sobre a confiabilidade de correções sugeridas por IA e a importância da supervisão humana. Exercício: revisar correções de bugs geradas por IA e avaliar sua qualidade.","Ler: Gazit (2024) e Keller & Nowakowski (2024) sobre automated patching. Revisar: conceitos de debugging e correção de bugs.","Análise crítica (2-3 páginas): casos onde IA pode ser confiável para correção automática vs. casos onde supervisão humana é essencial.","Gazit (2024); Keller & Nowakowski (2024); Meira (2024) - Seções 5.1, 5.2"
Aula 14,7,,Quarta,Checkpoint Mini-Projeto 2: Development & Testing com IA,"Aplicar os conceitos de assistência à codificação, testes e DevOps em um mini-projeto prático.","Apresentação dos mini-projetos de cada equipe (5-10 min por equipe). Cada equipe demonstra uma aplicação prática de IA em código generation, testing automation ou CI/CD. Demonstração ao vivo de funcionalidades desenvolvidas. Feedback do professor e peer review. Discussão sobre desafios técnicos e trade-offs.","Apresentações relâmpago com demonstração de protótipo funcional. Sessão de Q&A e peer review estruturado. Retrospectiva: o que melhorou desde o Mini-Projeto 1?","Finalizar Mini-Projeto 2: código funcional, testes automatizados, pipeline CI/CD (se aplicável), documentação.","Código-fonte em repositório GitHub. Demonstração funcional (vídeo ou ao vivo). Documento de reflexão: desafios, soluções, lições aprendidas.","Material das Aulas 8-13; SWEBOK"
Aula 15,8,,Segunda,Gerenciamento de Atualizações e Evolução de Software com IA,"Explorar o uso de IA na gestão estratégica de atualizações de software e evolução contínua de sistemas.","Uso de IA para priorizar atualizações baseado em fatores como impacto no negócio, feedback de usuários, urgência de security patches. Automação do processo de deployment de updates para reduzir risco de erros. Análise de feedback de usuários com NLP para identificar prioridades. Gestão de breaking changes e compatibilidade reversa com assistência de IA. Análise de impacto de mudanças. Gestão de débito técnico com IA.","Atividade em grupo: Usar dados simulados de feedback de usuários (reviews, tickets de suporte) para priorizar um conjunto de atualizações de software usando IA (ex: sentiment analysis, clustering de tópicos). Apresentar a lista priorizada e justificar as decisões. Análise de impacto de uma mudança proposta usando IA.","Ler: artigos sobre update management e release planning. Preparar: dataset de feedback de usuários (fornecido). Revisar conceitos de manutenção de software.","Lista priorizada de atualizações + análise de justificativas baseadas em dados e IA. Análise de impacto documentada.","Xin et al. (2023); Hong et al. (2023); Gezici & Tarhan (2022); Meira (2024) - Seção 5.3"
Aula 16,8,,Quarta,"[SINFONIA - EXPOSIÇÃO] Kick-off do Projeto Final + Introdução à Metodologia Sinfonia","Iniciar o projeto final seguindo a metodologia Sinfonia. Compreender os 4 movimentos e começar o Movimento 1: Exposição.","Apresentação detalhada da metodologia Sinfonia: 4 movimentos (Exposição, Composição, Ensaio, Ressonância), princípios (Pragmático, Colaborativo, Adaptável, Defensável), e os 14 artefatos. Explicação do Movimento 1 (Exposição): alinhar estratégia, definir problema, empatizar com usuário. Formação de equipes de 3-4 alunos. Brainstorming inicial de problemas de ES que podem ser resolvidos com IA. Discussão sobre domínios do SWEBOK aplicáveis.","Apresentação da Sinfonia (slides + diagrama mestre). Formação de equipes. Brainstorming facilitado: cada equipe identifica 2-3 problemas potenciais de ES onde IA pode agregar valor. Discussão em grupo sobre viabilidade e impacto. Introdução ao Canvas de Estratégia e Ação do Projeto.","Ler: Sinfonia - Capítulos 1, 2 e 4 (Movimento Exposição). Revisar todos os conceitos da disciplina (Aulas 1-15). Pensar em possíveis tópicos de projeto relacionados ao SWEBOK.","Equipes formadas (3-4 alunos). Lista inicial de 2-3 ideias de projeto por equipe. Reflexão individual sobre qual problema mais interessa.","Garcia & Medeiros (2025) - Sinfonia Caps. 1-4; SWEBOK; Material de todas as aulas anteriores"
Aula 17,9,,Segunda,[SINFONIA - EXPOSIÇÃO] Definição de Domínio e Problema,"Definir claramente o domínio e o problema que o projeto abordará, usando o Canvas de Estratégia e Ação do Projeto.","Atividade 1 do Movimento Exposição: Definição de Domínio e Problema. Como usar o Canvas de Estratégia e Ação do Projeto: definir missão, visão, contexto de negócio, problema a ser resolvido. Técnicas para formular bons problem statements. Critérios para avaliar viabilidade: complexidade técnica, disponibilidade de dados, tempo disponível. Alinhamento com áreas do SWEBOK.","Workshop prático: cada equipe trabalha no Canvas de Estratégia e Ação do Projeto. Sessões de 15 min de trabalho em equipe + 10 min de apresentação rápida para feedback do professor. Iterações até convergir em um problema bem definido. Peer feedback: outras equipes fazem perguntas desafiadoras.","Ler: Sinfonia Cap. 4 - Atividade 1. Trazer ideias refinadas de problemas. Pesquisar sobre o domínio escolhido (artigos, cases, ferramentas existentes).","Canvas de Estratégia e Ação do Projeto (draft inicial): problema definido, contexto de negócio, objetivos de alto nível.","Garcia & Medeiros (2025) - Sinfonia Cap. 4.2.1; Artigos sobre problem framing"
Aula 18,9,,Quarta,[SINFONIA - EXPOSIÇÃO] Empatia com o Usuário e Criação de Personas,"Desenvolver empatia profunda com os usuários finais da solução, criando personas detalhadas com assistência de IA.","Atividade 2 do Movimento Exposição: Empatia com o Usuário. Como criar personas realistas: pesquisa de usuários, entrevistas (simuladas), análise de comportamentos. Uso de IA para gerar e refinar personas: análise de dados demográficos, padrões de comportamento, necessidades e dores. Persona Model Canvas da Sinfonia. Técnicas de entrevista e observação. Jobs to be Done framework.","Workshop: cada equipe cria 2-3 personas para sua solução usando ferramentas de IA (GPT-4, Claude). Preencher Persona Model Canvas para cada persona. Entrevistas simuladas: equipes se revezam fazendo role-play como usuários baseados nas personas. Feedback do professor sobre realismo e profundidade das personas.","Ler: Sinfonia Cap. 4 - Atividade 2. Ler: Salminen et al. (2022) sobre data-driven personas. Preparar: template de entrevista de usuário.","Persona Model Canvas completo para 2-3 personas. Documento com insights das entrevistas simuladas. Mapa de empatia.","Garcia & Medeiros (2025) - Sinfonia Cap. 4.2.2; Salminen et al. (2022); Christensen et al. (2016) - Jobs to be Done"
Aula 19,10,,Segunda,[SINFONIA - EXPOSIÇÃO] Alinhamento Estratégico e Declaração de Missão,"Consolidar o alinhamento estratégico da equipe através da Declaração de Missão e Visão e definição de métricas de sucesso.","Atividade 3 do Movimento Exposição: Declaração de Missão e Visão. Como formular uma missão clara e inspiradora. Diferença entre missão (o quê e para quem) e visão (estado futuro desejado). Definir objetivos SMART (Specific, Measurable, Achievable, Relevant, Time-bound). Métricas de sucesso: como medir se a solução funcionou? KPIs técnicos e de negócio. Alinhamento com princípios éticos e responsáveis.","Workshop: cada equipe redige sua Declaração de Missão e Visão. Critérios: clareza, foco no usuário, viabilidade. Definição de 3-5 métricas-chave de sucesso (mix de técnicas e de negócio). Apresentação de 5 min por equipe para validação. Feedback do professor e peers. Discussão: como as métricas se conectam com o impacto desejado?","Ler: Sinfonia Cap. 4 - Atividade 3. Estudar exemplos de declarações de missão de produtos de IA bem-sucedidos. Revisar conceitos de OKRs e SMART goals.","Declaração de Missão e Visão finalizadas. Lista de 3-5 métricas-chave de sucesso com justificativas. Documento de alinhamento estratégico.","Garcia & Medeiros (2025) - Sinfonia Cap. 4.2.3; Material sobre OKRs e métricas de produto"
Aula 20,10,,Quarta,[SINFONIA - EXPOSIÇÃO] Ideação de Soluções e Priorização,"Gerar e priorizar ideias de soluções usando IA, aplicando a Matriz de Impacto vs. Esforço.","Atividade 4 do Movimento Exposição: Ideação e Priorização. Técnicas de ideação: brainstorming, SCAMPER, pensamento lateral. Uso de IA para gerar ideias criativas de soluções. Avaliação de viabilidade técnica com IA: complexidade de implementação, disponibilidade de ferramentas. Matriz de Impacto vs. Esforço: priorizar soluções com maior impacto e menor esforço. Definição do escopo do MVP (Minimum Viable Product).","Sessão de ideação intensiva: cada equipe gera 5-10 ideias de soluções com ajuda de IA. Preencher Matriz de Impacto vs. Esforço para cada ideia. Discussão em equipe: qual solução priorizar? Trade-offs entre impacto e complexidade. Definição do escopo MVP: o que entra na primeira versão? Apresentação de 5 min: solução escolhida e justificativa.","Ler: Sinfonia Cap. 4 - Atividade 4. Revisar conceitos de MVP e Lean Startup. Preparar: lista preliminar de possíveis soluções.","Matriz de Impacto vs. Esforço preenchida. Solução priorizada com justificativa detalhada. Escopo do MVP definido (features e não-features).","Garcia & Medeiros (2025) - Sinfonia Cap. 4.2.4; Ries (2011) - The Lean Startup; Material sobre ideação e priorização"
Aula 21,11,,Segunda,"[SINFONIA - EXPOSIÇÃO] Checkpoint 1 - Apresentação da Exposição Completa","Consolidar e apresentar todos os artefatos do Movimento 1 (Exposição). Validar alinhamento estratégico antes de prosseguir para o Movimento 2.","Apresentações formais (10 min por equipe) do Movimento Exposição completo: Canvas de Estratégia, Personas, Declaração de Missão/Visão, Solução Priorizada e Escopo MVP. Avaliação pelo professor usando rubrica específica: clareza do problema, profundidade de empatia com usuário, viabilidade técnica, alinhamento estratégico. Feedback construtivo e sugestões de ajustes. Aprovação para prosseguir para o Movimento 2 (Composição).","Apresentações formais de 10 minutos por equipe. Estrutura: (1) Problema e contexto, (2) Personas e insights de usuários, (3) Missão/Visão e métricas, (4) Solução escolhida e MVP. Q&A de 5 min após cada apresentação. Peer review estruturado. Feedback escrito do professor entregue em 48h.","Finalizar todos os artefatos da Exposição. Preparar slides de apresentação (máximo 10 slides). Ensaiar apresentação (timing e clareza).","Apresentação completa do Movimento Exposição. Todos os artefatos: Canvas de Estratégia, Personas, Missão/Visão, Matriz de Priorização, Escopo MVP. Documento consolidado (5-8 páginas).","Garcia & Medeiros (2025) - Sinfonia Cap. 4; Rubrica de avaliação do Checkpoint 1"
Aula 22,11,,Quarta,"[SINFONIA - COMPOSIÇÃO] Introdução + AULA ESPECIAL: Prompt Engineering para Engenharia de Software","Iniciar o Movimento 2 (Composição) com foco intensivo em Prompt Engineering - habilidade crítica para trabalhar com LLMs em ES.","Movimento 2 da Sinfonia: Composição - Desenhar a Solução. Importância do Prompt Engineering para o sucesso de soluções baseadas em LLMs. Técnicas avançadas de prompting: Zero-shot, Few-shot, Chain-of-Thought (CoT), Role-playing, Self-consistency, Tree of Thoughts. Prompting para tarefas específicas de ES: geração de código, análise de requisitos, geração de testes, refatoração, documentação. Iteração e refinamento de prompts. Avaliação de qualidade de outputs. Introdução ao Catálogo de Registros de Prompt da Sinfonia.","Workshop intensivo de Prompt Engineering (90 min): Parte 1 (30 min): Apresentação de técnicas e exemplos. Parte 2 (40 min): Exercícios práticos hands-on em duplas - otimizar prompts para 5 tarefas de SE diferentes. Parte 3 (20 min): Competição amigável - qual dupla consegue o melhor resultado para um desafio de prompting? Discussão: padrões emergentes, anti-patterns, melhores práticas. Início do Catálogo de Registros de Prompt para o projeto.","Ler: Artigos sobre prompt engineering (lista fornecida). Explorar: Prompt libraries (Awesome Prompts, LangChain Hub). Ler: Sinfonia Cap. 5 - introdução e Catálogo de Prompts. Preparar: LLM configurado para testes.","Exercícios de prompt engineering completados. Primeiros 3-5 registros de prompt no Catálogo do projeto (templates iniciais). Reflexão (1 página): insights sobre prompt engineering.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.3; White et al. (2023) - Prompt Engineering Guide; OpenAI Cookbook; Anthropic Prompt Library"
Aula 23,12,,Segunda,[SINFONIA - COMPOSIÇÃO] Arquitetura da Solução com C4 Model,"Desenhar a arquitetura técnica da solução usando o C4 Model, facilitando comunicação entre stakeholders técnicos e não-técnicos.","Atividade 1 do Movimento Composição: Arquitetura com C4 Model. Revisão do C4 Model: Context, Container, Component, Code. Level 1 (Context): sistema no contexto, usuários, sistemas externos. Level 2 (Container): aplicações, databases, serviços. Level 3 (Component): componentes dentro de containers. Como a IA se integra na arquitetura: onde os LLMs serão usados? APIs, pipelines, interfaces. Decisões arquiteturais: monolítico vs. microservices, síncrono vs. assíncrono, cloud vs. on-premise.","Workshop de arquitetura: cada equipe desenha C4 Model (Levels 1 e 2 obrigatórios, Level 3 opcional) para sua solução. Ferramentas: draw.io, Lucidchart, ou papel. Identificar: onde a IA se encaixa? Quais componentes são críticos? Quais são os pontos de falha? Apresentação de 5 min por equipe. Feedback arquitetural do professor: escalabilidade, segurança, manutenibilidade.","Ler: Sinfonia Cap. 5 - Atividade 1 (C4 Model). Revisar: C4 Model documentation completa. Estudar: arquiteturas de referência para sistemas de IA (papers, cases).","C4 Model completo (Levels 1-2, Level 3 opcional). Documento de decisões arquiteturais: justificativa para escolhas-chave, trade-offs considerados, riscos identificados.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.1; C4 Model documentation; Belzner (2023); Richards & Ford (2020) - Software Architecture Patterns"
Aula 24,12,,Quarta,[SINFONIA - COMPOSIÇÃO] Design de Prompts e Catálogo de Registros,"Desenvolver e documentar os prompts que serão usados na solução, criando um Catálogo de Registros de Prompt robusto.","Atividade 2 do Movimento Composição: Catálogo de Registros de Prompt. Estrutura de um registro de prompt: objetivo, contexto, prompt template, parâmetros, exemplos de input/output, métricas de avaliação. Versionamento de prompts: por que é crítico? Como gerenciar. Testes A/B de prompts: comparar variações. Estratégias de prompting para diferentes LLMs (GPT-4, Claude, Gemini). Considerações de custo: tokens, latência, qualidade. Salvaguardas: filtros de conteúdo, validação de outputs.","Workshop: cada equipe desenvolve seu Catálogo de Registros de Prompt. Objetivo: documentar todos os prompts que serão usados no MVP (mínimo 5-7 prompts). Para cada prompt: escrever versão inicial, testar com dados reais, iterar para melhorar, documentar no catálogo. Sessão de peer review: equipes trocam catálogos e testam os prompts umas das outras. Discussão: clareza, eficácia, robustez dos prompts.","Ler: Sinfonia Cap. 5 - Atividade 2. Revisar: aula 22 sobre Prompt Engineering. Preparar: lista de tarefas que exigirão prompts no projeto. Testar: variações de prompts para tarefas principais.","Catálogo de Registros de Prompt v1.0: mínimo 5-7 prompts documentados com template completo, exemplos, e resultados de testes. Análise comparativa de pelo menos 2 variações de prompts para a tarefa principal.","Garcia & Medeiros (2025) - Sinfonia Cap. 5.2.3; Material da Aula 22; LangChain documentation; Anthropic Prompt Engineering Guide"
